time, loss, val_loss, acc, val_acc
108, 1.846575, 2.712231, 0.416667, 0.382911,
109, 1.467845, 2.394591, 0.439739, 0.405063,
108, 1.277563, 1.551721, 0.476384, 0.474684,
105, 1.219289, 1.164107, 0.483713, 0.509494,
109, 1.117158, 1.341258, 0.504886, 0.525316,
105, 1.103254, 1.679765, 0.535831, 0.474684,
105, 1.066944, 1.746192, 0.545603, 0.379747,
104, 1.142556, 1.147077, 0.525244, 0.531646,
110, 1.045677, 1.273624, 0.539088, 0.563291,
108, 1.002088, 1.505501, 0.577362, 0.493671,
110, 0.939926, 1.351370, 0.623779, 0.512658,
110, 0.898043, 1.138401, 0.614821, 0.506329,
106, 0.845712, 1.206318, 0.651466, 0.588608,
107, 0.859883, 0.944263, 0.637622, 0.661392,
115, 0.836472, 1.134434, 0.662052, 0.585443,
106, 0.771992, 0.685974, 0.683225, 0.680380,
112, 0.752815, 1.109398, 0.692182, 0.610759,
106, 0.824147, 1.788327, 0.658795, 0.430380,
110, 0.714531, 1.199909, 0.695440, 0.560127,
113, 0.653129, 1.287095, 0.728827, 0.572785,
110, 0.670979, 1.443594, 0.728827, 0.547468,
110, 0.622406, 1.162125, 0.751629, 0.617089,
109, 0.608308, 0.627445, 0.764658, 0.765823,
107, 0.657810, 1.231257, 0.731270, 0.636076,
111, 0.594159, 0.724224, 0.754886, 0.737342,
112, 0.530405, 0.750210, 0.802117, 0.743671,
110, 0.537254, 1.004891, 0.765472, 0.708861,
113, 0.520290, 0.884805, 0.791531, 0.667722,
112, 0.500906, 0.795133, 0.807003, 0.702532,
110, 0.503381, 0.721928, 0.802117, 0.721519,
104, 0.456545, 0.674612, 0.820847, 0.756329,
108, 0.429127, 0.981841, 0.844463, 0.664557,
109, 0.492016, 0.726597, 0.808632, 0.674051,
109, 0.463133, 0.661008, 0.814332, 0.756329,
111, 0.426310, 1.034657, 0.829805, 0.683544,
111, 0.425907, 0.743402, 0.829805, 0.743671,
109, 0.404414, 1.048025, 0.839577, 0.661392,
110, 0.420567, 0.427094, 0.826547, 0.819620,
105, 0.376452, 0.438435, 0.848534, 0.825949,
105, 0.340867, 0.412901, 0.871336, 0.851266,
112, 0.337789, 0.971411, 0.867788, 0.693038,
108, 0.362061, 1.035469, 0.855049, 0.664557,
111, 0.340843, 0.519776, 0.870521, 0.810127,
110, 0.356690, 0.441967, 0.872150, 0.816456,
108, 0.350455, 0.539587, 0.868893, 0.778481,
106, 0.299258, 0.768653, 0.885179, 0.743671,
113, 0.299070, 0.510358, 0.881922, 0.835443,
108, 0.316953, 0.502128, 0.877036, 0.822785,
109, 0.313142, 0.515184, 0.880293, 0.822785,
110, 0.284061, 0.533358, 0.892508, 0.829114,
106, 0.307581, 0.697589, 0.889251, 0.781646,
111, 0.270078, 0.567715, 0.896580, 0.825949,
109, 0.296685, 0.468354, 0.882736, 0.860759,
110, 0.246694, 0.300847, 0.909609, 0.879747,
107, 0.234709, 0.871433, 0.912052, 0.737342,
108, 0.310302, 0.584085, 0.881107, 0.806962,
110, 0.261545, 0.494901, 0.893322, 0.860759,
105, 0.257876, 0.547414, 0.903909, 0.813291,
108, 0.272475, 0.515491, 0.890879, 0.829114,
103, 0.361028, 0.615459, 0.865635, 0.791139,
109, 0.284294, 0.828712, 0.899023, 0.642405,
107, 0.389868, 0.584559, 0.850163, 0.829114,
110, 0.208390, 0.711856, 0.924267, 0.797468,
108, 0.313013, 0.940093, 0.886808, 0.664557,
110, 0.355301, 0.460953, 0.868893, 0.819620,
109, 0.329167, 0.441290, 0.878664, 0.857595,
106, 0.266712, 0.694697, 0.897394, 0.740506,
110, 0.257063, 0.577478, 0.899837, 0.848101,
106, 0.230461, 0.452770, 0.913681, 0.848101,
108, 0.206529, 0.288125, 0.924267, 0.886076,
109, 0.215362, 0.325966, 0.915309, 0.895570,
108, 0.190671, 0.269220, 0.917752, 0.911392,
107, 0.209056, 0.641505, 0.921010, 0.784810,
107, 0.182786, 0.340622, 0.925896, 0.892405,
106, 0.170391, 0.447335, 0.938925, 0.882911,
108, 0.247660, 0.734769, 0.908795, 0.762658,
108, 0.272860, 0.829316, 0.898208, 0.759494,
105, 0.248020, 1.693649, 0.906352, 0.620253,
109, 0.208443, 0.313157, 0.928339, 0.901899,
111, 0.279799, 0.305417, 0.902280, 0.901899,
110, 0.202252, 0.317287, 0.920673, 0.882911,
109, 0.198642, 0.677529, 0.918567, 0.819620,
109, 0.211919, 0.539187, 0.921010, 0.841772,
107, 0.257420, 0.295404, 0.902280, 0.886076,
108, 0.183642, 0.510645, 0.929967, 0.822785,
108, 0.182857, 0.536110, 0.932410, 0.825949,
104, 0.205301, 0.344058, 0.925896, 0.895570,
109, 0.211903, 0.456983, 0.927524, 0.832278,
107, 0.208020, 0.346954, 0.917752, 0.886076,
107, 0.185626, 0.390331, 0.929153, 0.867089,
108, 0.166798, 0.319795, 0.935668, 0.901899,
106, 0.164874, 0.459917, 0.934853, 0.857595,
108, 0.193419, 0.291961, 0.921824, 0.895570,
113, 0.181296, 0.488440, 0.930782, 0.848101,
103, 0.201793, 0.380697, 0.926710, 0.867089,
107, 0.158720, 1.004756, 0.944625, 0.708861,
114, 0.160726, 0.539946, 0.935668, 0.816456,
107, 0.129133, 0.623576, 0.953583, 0.854430,
107, 0.127987, 0.436136, 0.955212, 0.854430,
106, 0.150144, 0.266685, 0.949511, 0.901899,
